PLAYER_ID,PLAYER_NAME,W,L,POINTS,DRIVE_PTS,DRIVE_FG_PCT,CATCH_SHOOT_PTS,CATCH_SHOOT_FG_PCT,PULL_UP_PTS,PULL_UP_FG_PCT,PAINT_TOUCH_PTS,PAINT_TOUCH_FG_PCT,POST_TOUCH_PTS,POST_TOUCH_FG_PCT,ELBOW_TOUCH_PTS,ELBOW_TOUCH_FG_PCT,EFF_FG_PCT
203076,Anthony Davis,17,23,23.2,2.3,0.614,3.0,0.333,2.6,0.316,10.1,0.696,3.4,0.532,3.0,0.455,0.542
1630264,Anthony Gill,15,29,4.1,0.9,0.467,1.0,0.556,0.0,0.0,1.4,0.595,0.1,1.0,0.5,0.667,0.633
1630237,Anthony Lamb,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1629083,Arnoldas Kulboka,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1629168,BJ Johnson,2,2,6.5,1.0,0.5,4.0,0.5,1.5,0.5,0.5,0.333,0.0,0.0,0.5,0.5,0.52
1628389,Bam Adebayo,36,20,19.1,3.1,0.587,1.2,0.398,1.8,0.353,7.1,0.673,1.9,0.422,2.8,0.504,0.557
201933,Blake Griffin,29,27,6.4,0.4,0.474,1.7,0.25,0.5,0.367,2.3,0.627,0.5,0.526,0.9,0.563,0.486
1626171,Bobby Portis,46,26,14.6,1.0,0.485,6.3,0.414,1.8,0.453,3.9,0.563,1.0,0.436,0.8,0.56,0.555
202711,Bojan Bogdanovic,45,24,18.1,4.4,0.5,6.4,0.392,2.7,0.362,1.6,0.653,1.0,0.474,0.5,0.824,0.552
1629626,Bol Bol,5,9,2.4,0.5,0.5,0.2,0.25,0.3,0.286,1.0,1.0,0.1,0.5,0.3,1.0,0.574
1629634,Brandon Clarke,43,20,10.4,1.5,0.569,0.7,0.373,0.3,0.36,5.9,0.72,0.1,0.6,2.0,0.611,0.652
1627742,Brandon Ingram,28,26,22.5,7.3,0.516,5.4,0.406,7.3,0.436,1.1,0.667,0.8,0.447,1.3,0.475,0.496
1630296,Braxton Key,5,6,7.2,1.4,0.538,1.4,0.278,0.5,0.182,2.3,0.579,0.2,0.5,0.5,0.5,0.5
1628971,Bruce Brown,37,35,9.0,1.5,0.444,1.7,0.379,0.2,0.258,2.6,0.545,0.1,1.0,1.1,0.587,0.543
1628981,Bruno Fernando,15,15,2.9,0.5,0.714,0.1,0.333,0.1,1.0,1.7,0.676,0.3,0.8,0.5,0.7,0.664
1629604,CJ Elleby,17,41,5.8,1.2,0.355,2.0,0.315,0.3,0.257,1.2,0.612,0.0,0.0,0.3,0.7,0.453
1628997,Caleb Martin,37,23,9.2,2.0,0.551,2.7,0.403,1.0,0.407,1.5,0.544,0.0,0.0,0.5,0.5,0.585
1629629,Cam Reddish,20,29,10.1,3.2,0.477,3.2,0.373,2.0,0.304,0.6,0.524,0.0,0.0,0.2,0.267,0.485
1629661,Cameron Johnson,49,16,12.3,1.6,0.463,7.0,0.418,0.6,0.229,0.9,0.806,0.0,0.0,0.5,0.706,0.592
1630787,Cameron McGriff,0,3,4.7,0.7,0.0,0.0,0.0,2.0,0.5,1.7,0.667,0.0,0.0,0.0,0.0,0.429
1628419,Cameron Oliver,1,1,11.5,0.0,0.0,1.5,0.333,1.0,1.0,5.5,0.714,0.0,0.0,3.0,0.667,0.7
2546,Carmelo Anthony,27,42,13.3,0.6,0.563,6.3,0.381,3.3,0.471,1.7,0.651,1.8,0.521,0.3,0.467,0.544
1626224,Cedi Osman,37,29,10.7,1.6,0.449,4.5,0.344,1.7,0.374,0.8,0.676,0.0,1.0,0.5,0.75,0.544
1628990,Chandler Hutchison,4,2,0.7,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.5,0.0,0.0,0.0,0.0,0.5
1629646,Charles Bassey,11,12,3.0,0.0,0.0,0.2,0.286,0.1,0.5,2.1,0.741,0.1,1.0,0.4,0.714,0.638
1630602,Chaundee Brown Jr.,1,4,6.2,1.2,0.25,3.0,0.294,1.0,0.286,0.0,0.0,0.0,0.0,0.4,1.0,0.406
1627767,Cheick Diallo,0,3,3.7,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.4,0.7,1.0,0.0,0.0,0.375
1629002,Chimezie Metu,22,37,9.0,1.8,0.4,2.8,0.315,0.9,0.358,2.3,0.705,0.4,0.647,0.2,0.333,0.513
1628449,Chris Boucher,48,32,9.4,0.5,0.4,2.6,0.309,0.2,0.167,4.5,0.603,0.0,0.333,0.8,0.719,0.523
1629735,Chris Silva,7,3,2.6,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.545,0.2,1.0,1.1,0.75,0.533
1626174,Christian Wood,19,49,17.9,3.3,0.53,4.6,0.371,1.8,0.343,5.2,0.716,1.4,0.522,1.7,0.551,0.576
1629643,Chuma Okeke,21,49,8.6,1.2,0.41,4.4,0.327,1.1,0.264,0.8,0.639,0.1,0.286,0.3,0.75,0.478
1628998,Cody Martin,41,29,7.6,1.6,0.489,2.3,0.369,0.6,0.315,0.9,0.707,0.0,0.0,0.5,0.938,0.549
203469,Cody Zeller,13,14,5.2,0.4,0.5,0.3,0.5,0.0,0.0,2.6,0.612,0.1,0.0,0.7,0.474,0.567
1630557,Corey Kispert,31,46,8.2,0.8,0.51,4.3,0.359,0.5,0.31,1.4,0.778,0.0,0.0,0.5,0.739,0.564
1628391,D.J. Wilson,2,2,7.5,0.8,0.0,0.5,0.5,1.5,0.5,2.3,1.0,0.5,1.0,1.0,1.0,0.733
1629610,DaQuan Jeffries,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1630625,Dalano Banton,37,27,3.2,0.8,0.39,0.4,0.205,0.6,0.347,0.6,0.531,0.0,0.0,0.1,0.333,0.443
1627814,Damion Lee,41,21,7.3,1.6,0.506,2.7,0.328,0.9,0.316,0.9,0.833,0.0,0.0,0.3,0.615,0.523
1629655,Daniel Gafford,30,42,9.4,0.3,0.5,0.1,0.154,0.0,1.0,7.4,0.739,0.4,0.545,1.4,0.597,0.693
1628464,Daniel Theis,20,27,8.2,0.2,0.417,2.7,0.329,0.0,0.125,3.8,0.692,0.3,1.0,1.0,0.588,0.576
201568,Danilo Gallinari,35,31,11.7,1.6,0.493,5.3,0.426,2.0,0.339,1.2,0.614,1.7,0.561,0.6,0.5,0.528
1627863,Danuel House Jr.,18,24,5.9,0.8,0.29,2.7,0.384,0.7,0.353,0.5,0.588,0.0,0.0,0.1,0.5,0.515
1629647,Darius Bazley,19,50,10.8,2.9,0.402,3.2,0.315,0.4,0.245,2.1,0.632,0.1,1.0,0.9,0.641,0.484
1628021,David Nwaba,6,40,5.1,1.2,0.459,0.9,0.298,0.2,0.75,1.3,0.714,0.0,0.0,0.2,0.429,0.526
202722,Davis Bertans,32,24,5.6,0.1,0.231,3.8,0.34,0.5,0.346,0.4,0.5,0.0,0.0,0.3,0.636,0.5
1630549,Day'Ron Sharpe,12,20,6.2,0.2,0.375,0.3,0.333,0.0,0.0,4.8,0.609,0.4,0.556,0.4,0.313,0.584
1629631,De'Andre Hunter,28,25,13.4,3.8,0.433,4.4,0.401,2.2,0.383,1.4,0.633,0.4,0.353,0.7,0.552,0.506
1627761,DeAndre' Bembry,31,25,5.1,1.1,0.5,0.8,0.39,0.0,0.0,1.5,0.635,0.0,0.0,0.3,0.6,0.595
201942,DeMar DeRozan,43,33,27.9,10.7,0.559,2.5,0.389,11.9,0.491,1.0,0.646,1.3,0.492,1.0,0.466,0.521
1629731,Dean Wade,27,24,5.3,0.7,0.56,3.0,0.366,0.4,0.409,0.9,0.769,0.0,0.0,0.0,0.25,0.574
1629686,Deividas Sirvydis,1,2,1.0,0.0,0.0,1.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15
1630166,Deni Avdija,35,47,8.4,2.2,0.493,2.8,0.317,0.5,0.31,1.3,0.641,0.2,0.417,0.4,0.522,0.503
202324,Derrick Favors,15,24,5.3,0.0,0.0,1.8,0.425,0.2,0.6,3.1,0.6,0.1,0.25,1.5,0.587,0.522
1627884,Derrick Jones Jr.,28,23,5.6,0.3,0.313,1.2,0.345,0.1,0.5,2.3,0.653,0.0,0.0,0.7,0.667,0.59
1630170,Devin Vassell,29,42,12.3,2.7,0.503,5.7,0.382,2.7,0.386,0.7,0.579,0.0,0.0,0.6,0.571,0.516
1629719,Devontae Cacok,5,10,3.1,0.7,0.625,0.0,0.0,0.1,0.5,1.4,0.643,0.1,1.0,1.1,0.778,0.677
1628415,Dillon Brooks,21,10,18.5,6.5,0.431,2.8,0.352,6.1,0.371,0.9,0.56,0.5,0.583,0.9,0.565,0.474
1627734,Domantas Sabonis,21,41,18.9,1.7,0.577,2.2,0.323,0.2,0.156,9.2,0.682,1.9,0.474,4.0,0.628,0.598
1627827,Dorian Finney-Smith,51,29,11.0,1.3,0.488,6.2,0.401,0.5,0.308,1.6,0.645,0.1,0.667,0.5,0.692,0.595
203926,Doug McDermott,21,30,11.3,2.1,0.431,5.4,0.416,1.7,0.446,0.8,0.645,0.0,0.0,0.3,0.667,0.578
203110,Draymond Green,34,12,7.5,1.9,0.623,1.3,0.333,0.2,0.25,1.5,0.627,0.2,0.667,1.2,0.657,0.556
1629234,Drew Eubanks,19,52,7.7,0.2,0.385,0.7,0.4,0.3,0.6,4.9,0.656,0.3,0.389,2.2,0.593,0.602
1629130,Duncan Robinson,52,27,10.9,0.7,0.512,6.4,0.349,2.6,0.453,0.6,0.6,0.0,0.0,0.1,0.455,0.559
2730,Dwight Howard,21,39,6.2,0.1,0.667,0.4,0.381,0.1,0.333,5.3,0.661,0.3,0.7,0.6,0.417,0.63
203939,Dwight Powell,52,30,8.7,0.4,0.458,0.5,0.304,0.0,0.333,6.8,0.759,0.2,0.75,0.8,0.438,0.687
1629685,Dylan Windler,28,22,2.2,0.3,0.5,1.2,0.313,0.1,0.167,0.4,0.667,0.0,0.0,0.0,0.0,0.485
202334,Ed Davis,15,16,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.643,0.0,0.0,0.3,0.667,0.688
1629150,Emanuel Terry,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1629672,Eric Paschall,36,22,5.8,2.0,0.615,2.2,0.391,0.1,0.375,1.0,0.676,0.0,0.0,0.3,0.727,0.57
1630647,Eugene Omoruyi,1,3,1.8,0.0,0.0,0.8,0.5,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.5
203095,Evan Fournier,35,44,13.7,2.6,0.469,6.1,0.403,4.6,0.39,0.2,0.412,0.0,0.0,0.0,0.125,0.535
1630624,Feron Hunt,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1626163,Frank Kaminsky,8,1,10.6,1.1,0.556,1.9,0.333,0.7,0.6,5.1,0.654,0.3,0.167,3.2,0.733,0.583
1630532,Franz Wagner,21,58,15.2,6.4,0.46,2.4,0.366,1.8,0.34,1.5,0.595,0.2,0.429,0.7,0.706,0.517
1627788,Furkan Korkmaz,44,23,7.6,2.0,0.478,2.5,0.303,1.6,0.305,0.6,0.704,0.0,0.0,0.1,0.5,0.469
1630466,Gabriel Deck,2,5,2.6,0.6,1.0,0.9,0.4,0.6,0.667,0.6,0.5,0.0,0.0,0.3,1.0,0.643
202066,Garrett Temple,22,36,5.2,0.6,0.343,2.8,0.344,0.5,0.211,0.6,0.667,0.0,0.0,0.2,0.556,0.476
1629109,Gary Clark,19,18,2.5,0.2,0.333,1.7,0.382,0.3,0.444,0.1,0.143,0.1,0.0,0.0,0.0,0.506
1629018,Gary Trent Jr.,44,26,18.3,3.0,0.426,5.9,0.404,7.0,0.395,0.4,0.5,0.1,0.5,0.3,0.533,0.511
1628994,George King,2,2,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1627777,Georges Niang,48,28,9.2,1.7,0.495,5.9,0.4,0.5,0.333,0.3,0.55,0.1,0.667,0.1,0.556,0.575
1630686,Georgios Kalaitzakis,8,5,6.6,0.9,0.417,2.1,0.36,0.5,0.25,1.1,0.6,0.0,0.0,0.2,0.5,0.537
203507,Giannis Antetokounmpo,45,22,29.9,8.1,0.608,1.2,0.358,5.5,0.362,6.4,0.671,2.6,0.532,2.4,0.548,0.582
1629048,Goga Bitadze,17,33,7.0,0.2,0.714,1.4,0.282,0.0,0.125,4.0,0.634,0.4,0.462,1.2,0.606,0.565
202330,Gordon Hayward,26,22,15.7,3.5,0.395,4.8,0.402,3.8,0.439,1.6,0.492,0.4,0.35,1.1,0.655,0.524
1629684,Grant Williams,49,27,7.9,0.9,0.455,3.9,0.413,0.3,0.29,1.7,0.716,0.3,0.6,0.4,0.706,0.601
1630535,Greg Brown III,14,34,4.7,0.5,0.227,1.1,0.295,0.2,0.158,1.7,0.679,0.0,0.0,0.4,0.636,0.476
202328,Greg Monroe,7,7,5.4,0.1,0.5,0.0,0.0,0.0,0.0,3.9,0.639,0.4,0.333,0.7,0.429,0.561
203084,Harrison Barnes,26,50,16.5,5.2,0.483,4.5,0.418,1.6,0.35,2.0,0.579,0.6,0.395,0.4,0.381,0.554
1629312,Haywood Highsmith,13,6,2.3,0.3,0.75,1.6,0.367,0.1,0.333,0.4,0.3,0.0,0.0,0.1,0.333,0.446
1630529,Herbert Jones,35,42,9.5,2.3,0.46,2.6,0.358,0.2,0.292,1.4,0.603,0.0,0.0,0.5,0.778,0.526
1629649,Ignas Brazdeikis,9,33,5.0,1.5,0.474,1.6,0.319,0.5,0.346,0.5,0.643,0.0,0.0,0.1,0.667,0.503
1630171,Isaac Okoro,34,33,8.8,1.6,0.417,2.5,0.374,0.0,0.053,1.6,0.657,0.0,0.0,0.3,0.563,0.544
1628392,Isaiah Hartenstein,37,31,8.3,0.7,0.432,1.2,0.556,0.2,0.278,5.0,0.706,0.1,0.25,2.5,0.67,0.645
1630543,Isaiah Jackson,9,27,8.3,0.2,0.333,0.5,0.318,0.1,0.182,5.8,0.654,0.3,0.429,1.2,0.484,0.575
1630587,Isaiah Livers,8,11,6.4,0.9,0.667,4.1,0.426,0.6,0.385,0.7,0.714,0.0,0.0,0.0,0.0,0.606
1629676,Isaiah Roby,10,35,10.1,1.3,0.44,2.3,0.4,0.8,0.542,3.7,0.602,0.2,0.667,0.8,0.333,0.582
1630191,Isaiah Stewart,21,49,8.3,0.2,0.462,1.0,0.36,0.0,0.111,6.1,0.563,0.7,0.479,0.8,0.52,0.526
1630225,Isaiah Todd,1,11,1.7,0.2,0.333,1.2,0.294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.346
1630688,Ish Wainright,35,9,2.4,0.4,0.692,1.3,0.306,0.0,0.0,0.6,0.476,0.0,0.0,0.1,0.333,0.485
1630550,JT Thor,18,15,2.0,0.5,0.5,0.7,0.296,0.1,0.333,0.4,0.6,0.1,0.5,0.0,0.0,0.5
203210,JaMychal Green,36,31,6.4,0.1,0.333,1.7,0.293,0.1,0.333,3.3,0.637,0.3,0.571,0.6,0.64,0.537
201580,JaVale McGee,57,17,9.2,0.5,0.421,0.2,0.292,0.3,0.423,6.7,0.704,0.6,0.543,1.5,0.57,0.631
203953,Jabari Parker,4,8,4.4,0.2,0.0,1.8,0.467,0.6,0.375,0.9,0.667,0.2,1.0,0.5,0.75,0.579
1630183,Jaden McDaniels,40,30,9.2,1.9,0.538,3.2,0.313,0.9,0.452,1.7,0.632,0.0,0.0,0.5,0.762,0.532
203109,Jae Crowder,54,13,9.4,1.1,0.574,5.4,0.37,1.5,0.353,0.4,0.44,0.0,0.0,0.3,0.421,0.516
1630256,Jae'Sean Tate,19,59,11.8,2.9,0.508,2.2,0.306,0.3,0.308,3.4,0.625,0.6,0.581,0.9,0.483,0.541
1627774,Jake Layman,20,14,2.4,0.3,0.273,0.7,0.242,0.2,0.333,0.6,0.636,0.0,0.0,0.2,1.0,0.466
1630552,Jalen Johnson,14,8,2.4,0.5,0.5,0.4,0.25,0.0,0.0,0.8,1.0,0.0,0.0,0.0,0.0,0.573
1629667,Jalen McDaniels,34,20,6.2,1.6,0.475,2.2,0.37,0.3,0.412,0.8,0.528,0.0,0.0,0.3,0.538,0.562
1630188,Jalen Smith,28,22,9.0,0.5,0.435,2.8,0.359,0.1,0.176,4.1,0.683,0.5,0.643,0.8,0.567,0.56
203516,James Ennis III,3,4,4.1,0.9,0.5,1.3,0.375,0.0,0.0,1.1,0.5,0.0,0.0,0.3,0.0,0.521
201949,James Johnson,30,32,5.5,2.0,0.579,0.9,0.292,0.2,0.182,1.2,0.586,0.0,1.0,0.3,0.5,0.507
1630691,Jamorko Pickett,4,9,3.8,0.0,0.0,2.5,0.297,0.5,0.333,0.6,0.8,0.0,0.0,0.0,0.0,0.49
1628991,Jaren Jackson Jr.,52,25,16.4,4.8,0.439,5.1,0.338,0.5,0.293,2.8,0.531,1.5,0.494,1.2,0.487,0.478
1629020,Jarred Vanderbilt,41,33,6.9,0.1,0.385,0.1,0.118,0.0,0.333,4.3,0.594,0.0,0.0,0.9,0.652,0.59
1629633,Jarrett Culver,27,9,3.6,1.0,0.429,0.8,0.273,0.7,0.314,0.4,0.5,0.0,0.0,0.0,0.0,0.424
1629750,Javonte Green,38,27,7.2,1.2,0.563,1.6,0.347,0.2,0.5,2.2,0.632,0.0,0.0,0.5,0.632,0.597
1629637,Jaxson Hayes,28,41,9.4,0.7,0.444,1.0,0.333,0.1,0.154,4.6,0.687,0.2,0.556,1.0,0.615,0.639
1630643,Jay Huff,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1627759,Jaylen Brown,43,22,23.7,6.4,0.513,5.6,0.391,5.3,0.397,2.1,0.655,0.7,0.444,1.2,0.585,0.542
1629658,Jaylen Hoard,2,5,14.7,3.3,0.391,3.4,0.364,1.0,0.3,5.4,0.679,0.9,0.6,0.7,0.667,0.539
1628369,Jayson Tatum,49,26,26.8,7.5,0.488,4.4,0.384,7.4,0.351,2.2,0.609,1.0,0.484,1.3,0.554,0.524
201145,Jeff Green,44,31,10.3,1.5,0.586,2.1,0.316,0.5,0.333,3.3,0.671,1.0,0.537,1.1,0.673,0.574
1629203,Jemerrio Jones,0,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,1.0,1.0,0.667
203924,Jerami Grant,11,36,19.2,5.0,0.491,6.1,0.378,3.1,0.36,1.3,0.629,1.0,0.483,0.4,0.316,0.491
1630526,Jeremiah Robinson-Earl,15,34,7.5,0.2,0.357,3.8,0.34,0.1,0.273,2.6,0.549,0.1,0.667,0.7,0.414,0.503
203087,Jeremy Lamb,23,33,7.3,2.4,0.418,2.0,0.336,2.0,0.362,0.5,0.591,0.0,0.0,0.1,0.5,0.463
202710,Jimmy Butler,38,19,21.4,7.6,0.495,1.5,0.314,3.6,0.394,4.6,0.671,1.7,0.423,1.3,0.596,0.496
203925,Joe Harris,10,4,11.3,1.4,0.348,8.1,0.463,1.2,0.438,0.3,0.667,0.0,0.0,0.1,0.25,0.617
204060,Joe Ingles,28,17,7.2,1.6,0.66,3.8,0.373,1.6,0.309,0.0,0.0,0.0,0.0,0.0,0.0,0.54
2207,Joe Johnson,1,0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1630580,Joe Wieskamp,11,18,2.1,0.1,0.333,1.2,0.353,0.4,0.267,0.1,0.0,0.0,0.0,0.1,1.0,0.482
203954,Joel Embiid,45,23,30.6,4.9,0.6,4.8,0.406,6.5,0.411,5.8,0.623,6.5,0.471,3.6,0.557,0.534
1628381,John Collins,26,28,16.2,1.6,0.567,4.7,0.4,0.8,0.407,5.5,0.653,1.8,0.411,1.5,0.58,0.576
1630228,Jonathan Kuminga,44,25,9.3,2.3,0.584,2.1,0.363,0.3,0.263,1.9,0.658,0.7,0.6,0.8,0.633,0.572
1628395,Jordan Bell,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1629670,Jordan Nwora,34,28,7.9,1.7,0.454,2.8,0.337,2.0,0.331,0.7,0.645,0.0,0.0,0.2,0.545,0.488
1628367,Josh Jackson,12,38,6.4,1.0,0.412,1.7,0.267,0.9,0.308,0.9,0.606,0.1,0.25,0.2,0.286,0.458
1629308,Juan Toscano-Anderson,51,22,4.1,0.8,0.51,1.0,0.312,0.3,0.412,0.9,0.592,0.0,0.5,0.2,0.667,0.549
1627823,Juancho Hernangomez,20,20,3.3,0.3,0.25,1.8,0.358,0.0,0.0,0.8,0.765,0.0,0.0,0.2,0.5,0.528
203944,Julius Randle,31,40,20.1,4.6,0.478,3.3,0.292,5.5,0.346,2.8,0.6,2.0,0.421,1.5,0.562,0.459
1626147,Justin Anderson,3,13,6.4,1.3,0.545,2.3,0.226,1.4,0.5,0.4,0.4,0.0,0.0,0.4,1.0,0.458
1630551,Justin Champagnie,21,15,2.3,0.1,0.5,0.9,0.379,0.0,0.0,1.0,0.552,0.0,0.0,0.1,0.0,0.537
203200,Justin Holiday,25,49,10.1,0.4,0.407,5.9,0.365,2.1,0.389,0.7,0.595,0.0,0.0,0.2,0.375,0.528
1628382,Justin Jackson,5,1,1.2,0.0,0.0,0.5,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.227
1626159,Justise Winslow,24,23,5.8,0.9,0.429,1.1,0.26,0.3,0.226,2.1,0.613,0.3,0.625,0.4,0.474,0.459
1629752,Juwan Morgan,1,1,2.5,0.0,0.0,1.5,0.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.833
1629644,KZ Okpala,14,7,3.7,0.4,0.333,1.3,0.346,0.1,0.333,0.7,0.35,0.0,0.0,0.4,0.8,0.5
1630539,Kai Jones,14,6,1.1,0.1,0.0,0.2,0.333,0.0,0.0,0.8,1.0,0.0,0.0,0.0,0.0,0.679
1626157,Karl-Anthony Towns,44,30,24.6,6.6,0.583,5.8,0.404,1.7,0.4,4.3,0.627,2.6,0.55,2.7,0.585,0.591
1628966,Keita Bates-Diop,23,36,5.7,0.6,0.31,1.1,0.359,0.2,0.294,2.3,0.685,0.1,0.25,0.4,0.529,0.549
1629103,Kelan Martin,14,16,5.7,1.3,0.439,2.0,0.333,1.4,0.357,0.7,0.667,0.0,0.0,0.0,0.0,0.474
1629640,Keldon Johnson,33,42,17.0,5.2,0.441,6.1,0.418,1.3,0.328,1.8,0.655,0.3,0.533,0.3,0.474,0.545
203482,Kelly Olynyk,13,27,9.1,0.9,0.433,2.7,0.396,1.0,0.259,2.6,0.562,0.8,0.6,0.8,0.6,0.517
1626162,Kelly Oubre Jr.,39,36,15.0,2.7,0.479,6.1,0.35,2.2,0.343,1.5,0.645,0.0,0.0,0.6,0.895,0.543
1629026,Kenrich Williams,17,32,7.4,1.5,0.5,2.1,0.35,1.3,0.37,2.1,0.643,0.0,0.0,0.4,0.538,0.525
203145,Kent Bazemore,16,23,3.4,0.3,0.333,1.7,0.328,0.7,0.278,0.3,0.25,0.0,0.0,0.1,0.4,0.428
1630231,Kenyon Martin Jr.,20,59,8.8,1.4,0.489,2.2,0.358,0.1,0.286,2.7,0.681,0.1,0.429,0.7,0.6,0.591
1630556,Kessler Edwards,22,26,5.9,0.5,0.412,2.9,0.34,0.5,0.464,1.0,0.468,0.0,0.0,0.4,0.583,0.502
201142,Kevin Durant,36,19,29.9,7.1,0.544,6.0,0.496,12.3,0.488,2.0,0.662,2.1,0.592,2.6,0.624,0.57
1628989,Kevin Huerter,40,34,12.1,2.4,0.466,5.6,0.428,3.2,0.417,1.0,0.786,0.0,0.0,0.4,0.615,0.559
1628995,Kevin Knox II,18,12,3.1,0.3,0.3,1.4,0.275,0.2,0.182,0.5,0.7,0.0,0.0,0.1,0.0,0.453
201567,Kevin Love,38,36,13.6,0.5,0.469,7.2,0.395,1.7,0.353,2.5,0.623,1.3,0.48,0.6,0.5,0.553
1629645,Kevin Porter Jr.,16,45,15.6,4.1,0.458,2.9,0.476,5.9,0.332,0.9,0.694,0.1,0.2,0.4,0.611,0.511
1626172,Kevon Looney,53,28,6.0,0.4,0.353,0.2,0.243,0.1,0.182,3.3,0.653,0.1,0.4,0.9,0.615,0.574
203114,Khris Middleton,44,22,20.1,3.9,0.5,4.3,0.391,7.8,0.413,1.0,0.62,0.8,0.397,0.2,0.318,0.522
1629681,Killian Tillie,26,9,3.2,0.4,0.35,2.1,0.313,0.1,0.286,0.2,0.364,0.0,0.0,0.1,0.5,0.446
204001,Kristaps Porzingis,26,25,20.2,2.1,0.5,6.0,0.345,2.5,0.434,6.1,0.639,3.1,0.461,2.4,0.544,0.51
203937,Kyle Anderson,46,23,7.6,2.2,0.434,1.6,0.352,1.0,0.337,1.5,0.57,0.0,0.333,0.8,0.735,0.484
1628398,Kyle Kuzma,29,37,17.1,5.1,0.498,4.9,0.353,2.9,0.332,2.3,0.677,0.4,0.417,0.5,0.486,0.52
200746,LaMarcus Aldridge,26,21,12.9,0.3,0.636,4.8,0.512,1.9,0.478,4.1,0.678,1.7,0.468,2.4,0.575,0.566
