PLAYER_ID,PLAYER_NAME,GP,W,L,PULL_UP_FGM,PULL_UP_FGA,PULL_UP_FG_PCT,PULL_UP_PTS,PULL_UP_FG3M,PULL_UP_FG3A,PULL_UP_FG3_PCT,PULL_UP_EFG_PCT
201980,Danny Green,11,6,5,0.5,1.0,0.455,1.1,0.2,0.6,0.286,0.545
1627863,Danuel House Jr.,56,38,18,0.4,0.9,0.423,1.0,0.2,0.7,0.351,0.548
1629636,Darius Garland,69,40,29,3.0,7.2,0.421,7.4,1.3,3.4,0.391,0.512
1630561,David Duke Jr.,23,10,13,0.1,0.3,0.375,0.3,0.0,0.0,0.0,0.375
1630558,Davion Mitchell,80,47,33,0.6,1.7,0.353,1.4,0.2,0.8,0.262,0.414
1628432,Davon Reed,43,29,14,0.2,0.7,0.345,0.6,0.1,0.1,0.667,0.414
1628368,De'Aaron Fox,73,44,29,3.5,8.6,0.41,7.9,0.8,2.7,0.301,0.456
1629631,De'Andre Hunter,67,35,32,2.0,3.9,0.51,4.2,0.2,0.5,0.389,0.536
1629001,De'Anthony Melton,77,50,27,0.6,1.8,0.317,1.6,0.4,1.3,0.32,0.43
201942,DeMar DeRozan,74,37,37,4.8,10.1,0.472,9.6,0.1,0.4,0.308,0.478
1627749,Dejounte Murray,74,38,36,3.9,8.5,0.463,8.5,0.6,1.8,0.364,0.502
1626153,Delon Wright,50,26,24,0.5,1.4,0.377,1.3,0.3,0.9,0.349,0.486
203471,Dennis Schroder,66,37,29,1.4,3.2,0.421,2.8,0.1,0.5,0.242,0.439
1628372,Dennis Smith Jr.,54,19,35,0.6,2.3,0.252,1.2,0.0,0.4,0.053,0.256
1629126,Deonte Burton,2,1,1,0.0,0.0,,0.0,0.0,0.0,,
1631220,Dereon Seabron,5,2,3,0.0,0.0,,0.0,,,,
201565,Derrick Rose,27,12,15,0.9,2.1,0.414,2.1,0.4,1.0,0.385,0.5
1628401,Derrick White,82,57,25,0.8,1.9,0.442,2.0,0.3,0.9,0.351,0.529
1630217,Desmond Bane,58,38,20,2.3,5.4,0.42,5.8,1.3,3.3,0.401,0.543
1626164,Devin Booker,53,34,19,4.9,11.0,0.443,10.9,1.2,3.8,0.309,0.497
1630170,Devin Vassell,38,12,26,2.8,7.0,0.4,6.2,0.6,2.1,0.282,0.442
1629653,Devon Dotson,6,1,5,0.0,0.5,0.0,0.0,0.0,0.0,,0.0
1628984,Devonte' Graham,73,31,42,0.9,2.5,0.354,2.4,0.6,1.9,0.329,0.481
1628415,Dillon Brooks,73,46,27,1.7,5.0,0.345,4.1,0.6,2.1,0.271,0.402
1628378,Donovan Mitchell,68,44,24,4.1,9.6,0.428,10.4,2.2,5.7,0.392,0.544
1631495,Donovan Williams,2,1,1,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0
1628978,Donte DiVincenzo,72,42,30,0.2,1.0,0.236,0.6,0.2,0.7,0.226,0.319
1630696,Dru Smith,15,7,8,0.3,1.0,0.333,0.7,0.0,0.3,0.0,0.333
1630613,Duane Washington Jr.,31,17,14,1.4,3.5,0.393,3.4,0.6,1.5,0.435,0.486
1629685,Dylan Windler,3,3,0,0.0,0.0,,0.0,0.0,0.0,,
1630700,Dyson Daniels,59,33,26,0.1,0.5,0.276,0.3,0.1,0.3,0.2,0.328
1628410,Edmond Sumner,53,33,20,0.3,0.7,0.389,0.6,0.1,0.2,0.308,0.444
201569,Eric Gordon,69,25,44,0.6,1.7,0.362,1.7,0.5,1.3,0.386,0.509
203095,Evan Fournier,27,15,12,0.9,2.8,0.303,2.2,0.5,1.8,0.265,0.388
1630267,Facundo Campazzo,8,2,6,0.1,0.6,0.2,0.4,0.1,0.6,0.2,0.3
1628402,Frank Jackson,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,,0.0
1628373,Frank Ntilikina,47,20,27,0.3,0.6,0.467,0.7,0.1,0.2,0.273,0.517
1627832,Fred VanVleet,69,34,35,2.9,7.5,0.383,7.2,1.5,4.4,0.336,0.483
1627788,Furkan Korkmaz,37,24,13,0.3,0.9,0.375,0.8,0.1,0.4,0.385,0.453
1629216,Gabe Vincent,68,37,31,1.3,3.1,0.416,3.2,0.6,1.8,0.325,0.509
1628221,Gabe York,3,1,2,0.0,1.3,0.0,0.0,0.0,1.3,0.0,0.0
202066,Garrett Temple,25,16,9,0.1,0.3,0.25,0.2,0.1,0.2,0.4,0.375
1629726,Garrison Mathews,54,16,38,0.2,0.6,0.353,0.6,0.2,0.6,0.355,0.515
203914,Gary Harris,48,22,26,0.4,1.0,0.404,1.1,0.3,0.6,0.452,0.553
1627780,Gary Payton II,22,13,9,0.0,0.0,,0.0,0.0,0.0,,
1629018,Gary Trent Jr.,66,31,35,2.3,5.9,0.39,5.3,0.7,2.2,0.299,0.445
201588,George Hill,46,27,19,0.4,0.9,0.405,0.9,0.1,0.5,0.261,0.476
201609,Goran Dragic,58,27,31,0.8,2.2,0.354,1.7,0.1,0.7,0.175,0.381
1628960,Grayson Allen,72,53,19,0.6,1.7,0.331,1.6,0.5,1.3,0.362,0.471
1628977,Hamidou Diallo,56,12,44,0.5,1.2,0.42,1.1,0.0,0.1,0.5,0.435
1630193,Immanuel Quickley,81,47,34,1.8,4.8,0.38,4.6,0.9,2.5,0.345,0.471
1630171,Isaac Okoro,76,48,28,0.0,0.1,0.333,0.1,0.0,0.1,0.429,0.5
1630198,Isaiah Joe,73,36,37,0.8,2.0,0.431,2.1,0.4,1.2,0.345,0.531
202397,Ish Smith,43,25,18,0.7,2.0,0.352,1.4,0.0,0.1,0.0,0.352
1631120,JD Davison,12,11,1,0.2,0.6,0.286,0.3,0.0,0.1,0.0,0.286
1629630,Ja Morant,61,40,21,2.7,7.1,0.385,6.4,0.9,3.1,0.298,0.451
1631367,Jacob Gilyard,1,0,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1630702,Jaden Hardy,48,20,28,0.8,2.1,0.374,2.0,0.5,1.2,0.386,0.485
1631093,Jaden Ivey,74,16,58,1.9,5.1,0.363,4.4,0.7,2.3,0.305,0.431
1630531,Jaden Springer,16,13,3,0.2,0.6,0.333,0.4,0.1,0.1,1.0,0.389
1628973,Jalen Brunson,68,40,28,3.7,8.3,0.447,8.5,1.1,2.8,0.38,0.512
1630224,Jalen Green,76,20,56,2.6,7.3,0.364,6.6,1.3,4.0,0.327,0.454
1630591,Jalen Suggs,53,20,33,1.0,2.9,0.34,2.5,0.5,1.7,0.303,0.426
1631114,Jalen Williams,75,36,39,0.8,2.0,0.395,1.7,0.1,0.4,0.333,0.432
1627750,Jamal Murray,65,43,22,3.4,8.5,0.401,8.3,1.5,3.8,0.393,0.488
1631123,Jamaree Bouyea,5,2,3,0.2,0.8,0.25,0.6,0.2,0.6,0.333,0.375
1630547,James Bouknight,34,9,25,0.7,2.1,0.324,1.7,0.4,1.3,0.273,0.408
201935,James Harden,58,39,19,3.0,7.6,0.395,8.0,2.0,5.3,0.376,0.525
1630215,Jared Butler,6,3,3,0.5,1.3,0.375,1.3,0.3,0.8,0.4,0.5
1631197,Jared Rhoden,14,2,12,0.1,0.4,0.333,0.3,0.0,0.1,0.0,0.333
1629633,Jarrett Culver,10,5,5,0.3,0.8,0.375,0.6,0.0,0.2,0.0,0.375
1630554,Jason Preston,14,4,10,0.4,1.1,0.375,0.9,0.1,0.3,0.25,0.406
1629750,Javonte Green,32,13,19,0.1,0.2,0.4,0.2,0.0,0.0,1.0,0.5
1630206,Jay Scrubb,2,1,1,0.5,0.5,1.0,1.5,0.5,0.5,1.0,1.5
1627759,Jaylen Brown,67,46,21,2.6,6.4,0.403,6.0,0.8,2.6,0.318,0.467
1629669,Jaylen Nowell,65,34,31,1.3,3.0,0.431,3.0,0.4,1.4,0.304,0.503
1628369,Jayson Tatum,74,52,22,2.1,6.9,0.302,5.5,1.4,4.8,0.291,0.404
1631466,Jeenathan Williams,5,1,4,0.0,0.0,,0.0,0.0,0.0,,
1630288,Jeff Dowtin Jr.,25,17,8,0.3,0.9,0.348,0.7,0.0,0.1,0.333,0.37
1628975,Jevon Carter,81,57,24,1.4,3.3,0.416,3.4,0.7,1.7,0.393,0.515
203925,Joe Harris,74,40,34,0.3,0.8,0.4,0.9,0.2,0.6,0.429,0.55
204060,Joe Ingles,46,32,14,0.7,1.5,0.479,2.1,0.7,1.4,0.469,0.69
1630580,Joe Wieskamp,9,6,3,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0
1629723,John Konchar,72,45,27,0.1,0.3,0.36,0.3,0.1,0.3,0.368,0.5
202322,John Wall,34,15,19,0.8,3.1,0.267,1.7,0.0,0.6,0.05,0.271
1631098,Johnny Davis,28,10,18,0.7,2.1,0.333,1.5,0.0,0.5,0.077,0.342
1630548,Johnny Juzang,18,6,12,0.7,1.8,0.406,1.7,0.2,0.7,0.308,0.469
203903,Jordan Clarkson,61,30,31,2.4,6.0,0.397,5.9,1.2,3.5,0.343,0.497
1630692,Jordan Goodwin,62,22,40,0.7,1.9,0.39,1.6,0.2,0.6,0.263,0.432
1631160,Jordan Hall,9,1,8,0.4,1.0,0.444,1.1,0.2,0.3,0.667,0.556
1629162,Jordan McLaughlin,43,22,21,0.3,0.8,0.364,0.7,0.2,0.5,0.304,0.47
1629673,Jordan Poole,82,44,38,2.0,5.8,0.34,5.0,1.0,3.5,0.303,0.431
1630648,Jordan Schakel,2,0,2,0.5,0.5,1.0,1.5,0.5,0.5,1.0,1.5
1630631,Jose Alvarado,61,30,31,0.4,1.2,0.329,1.0,0.2,0.5,0.323,0.397
1630528,Josh Christopher,64,16,48,0.7,1.8,0.407,1.6,0.2,0.6,0.27,0.451
1630581,Josh Giddey,76,34,42,1.0,2.4,0.403,2.0,0.1,0.3,0.174,0.414
1630182,Josh Green,60,27,33,0.2,0.5,0.419,0.5,0.0,0.1,0.25,0.452
1628404,Josh Hart,76,42,34,0.3,0.8,0.297,0.5,0.0,0.2,0.067,0.305
1629006,Josh Okogie,72,38,34,0.2,0.9,0.266,0.6,0.1,0.4,0.29,0.336
1626196,Josh Richardson,65,24,41,1.3,2.9,0.434,2.7,0.2,0.5,0.333,0.463
1630563,Joshua Primo,4,3,1,1.0,2.3,0.444,2.3,0.3,0.8,0.333,0.5
201950,Jrue Holiday,67,50,17,2.9,7.3,0.401,7.4,1.5,4.3,0.361,0.507
1630551,Justin Champagnie,5,4,1,0.2,0.2,1.0,0.6,0.2,0.2,1.0,1.5
203200,Justin Holiday,46,18,28,0.3,1.1,0.286,0.8,0.2,0.5,0.292,0.357
1626159,Justise Winslow,29,15,14,0.3,1.0,0.321,0.6,0.0,0.0,0.0,0.321
1629644,KZ Okpala,35,19,16,0.0,0.1,0.5,0.1,0.0,0.0,,0.5
1629640,Keldon Johnson,63,17,46,0.8,2.9,0.293,2.0,0.3,1.3,0.266,0.351
1626162,Kelly Oubre Jr.,48,16,32,1.5,3.8,0.396,3.5,0.5,1.5,0.306,0.456
202689,Kemba Walker,9,5,4,1.4,3.4,0.419,3.7,0.8,2.3,0.333,0.532
1631112,Kendall Brown,6,1,5,0.2,0.2,1.0,0.3,0.0,0.0,,1.0
1629134,Kendrick Nunn,70,30,40,1.0,2.5,0.398,2.5,0.5,1.3,0.386,0.494
1631113,Kennedy Chandler,36,22,14,0.2,0.5,0.444,0.4,0.0,0.1,0.0,0.444
1629026,Kenrich Williams,53,26,27,0.5,1.2,0.391,1.0,0.1,0.3,0.286,0.422
203484,Kentavious Caldwell-Pope,76,51,25,1.0,2.3,0.41,2.1,0.2,0.7,0.32,0.455
1631165,Keon Ellis,16,7,9,0.2,0.4,0.429,0.6,0.2,0.3,0.6,0.643
1630553,Keon Johnson,40,13,27,0.5,1.5,0.311,1.3,0.3,0.8,0.406,0.418
1628989,Kevin Huerter,75,44,31,1.5,3.5,0.426,3.9,0.9,2.1,0.416,0.553
1629645,Kevin Porter Jr.,59,18,41,2.8,7.3,0.386,7.1,1.5,4.4,0.337,0.488
1630284,Kevon Harris,34,12,22,0.1,0.5,0.188,0.2,0.1,0.3,0.182,0.25
1630165,Killian Hayes,76,16,60,2.1,5.5,0.377,4.4,0.3,1.2,0.244,0.403
1630184,Kira Lewis Jr.,25,11,14,0.4,0.8,0.476,0.9,0.1,0.2,0.5,0.548
202691,Klay Thompson,69,38,31,2.5,6.2,0.397,6.0,1.1,2.7,0.4,0.484
1628424,Kobi Simmons,5,1,4,0.2,0.6,0.333,0.6,0.2,0.6,0.333,0.5
1627739,Kris Dunn,22,8,14,0.5,1.0,0.524,1.2,0.2,0.3,0.571,0.619
203937,Kyle Anderson,69,36,33,0.4,1.1,0.419,1.0,0.1,0.2,0.412,0.466
200768,Kyle Lowry,55,30,25,1.2,3.0,0.392,3.0,0.7,1.9,0.346,0.503
202681,Kyrie Irving,60,32,28,4.3,9.3,0.461,10.2,1.7,4.4,0.377,0.551
1630163,LaMelo Ball,36,13,23,3.0,8.2,0.367,7.8,1.8,5.1,0.348,0.476
1629013,Landry Shamet,40,19,21,0.7,2.5,0.287,2.0,0.5,1.6,0.317,0.386
1631311,Lester Quinones,4,4,0,0.3,0.5,0.5,0.8,0.3,0.5,0.5,0.75
1629623,Lindell Wigginton,7,4,3,0.3,1.1,0.25,0.6,0.0,0.7,0.0,0.25
1629022,Lonnie Walker IV,56,27,29,0.8,2.2,0.352,1.8,0.2,0.8,0.283,0.406
1629652,Luguentz Dort,74,36,38,0.6,1.6,0.353,1.4,0.3,0.9,0.318,0.444
1629029,Luka Doncic,66,33,33,4.6,11.6,0.394,11.5,2.4,7.0,0.344,0.497
1628379,Luke Kennard,59,37,22,0.8,1.9,0.425,2.0,0.4,0.9,0.375,0.518
1630644,Mac McClung,2,2,0,0.5,1.5,0.333,1.5,0.5,1.0,0.5,0.5
1630201,Malachi Flynn,53,29,24,0.5,1.7,0.3,1.3,0.2,0.8,0.317,0.372
1627763,Malcolm Brogdon,67,46,21,1.7,3.9,0.452,4.4,0.9,2.0,0.448,0.568
1627736,Malik Beasley,81,45,36,1.3,3.6,0.372,3.4,0.8,2.1,0.361,0.477
1628370,Malik Monk,77,47,30,1.0,2.8,0.363,2.6,0.6,1.8,0.324,0.467
203935,Marcus Smart,61,43,18,0.6,1.8,0.318,1.4,0.3,1.1,0.294,0.411
1628365,Markelle Fultz,60,29,31,1.6,3.6,0.442,3.3,0.1,0.3,0.389,0.458
1629680,Matisse Thybulle,71,38,33,0.1,0.2,0.429,0.2,0.1,0.2,0.455,0.607
203521,Matthew Dellavedova,32,19,13,0.1,0.4,0.286,0.3,0.1,0.2,0.4,0.357
1631108,Max Christie,41,19,22,0.2,0.5,0.476,0.5,0.0,0.1,0.667,0.524
1629622,Max Strus,80,42,38,0.4,1.4,0.315,1.2,0.3,1.1,0.298,0.428
1630593,McKinley Wright IV,27,14,13,0.4,1.1,0.367,0.9,0.1,0.4,0.2,0.4
203487,Michael Carter-Williams,4,1,3,0.0,0.3,0.0,0.0,0.0,0.0,,0.0
1628969,Mikal Bridges,27,12,15,4.2,8.8,0.481,9.1,0.7,1.8,0.375,0.519
201144,Mike Conley,67,34,33,1.5,4.2,0.357,3.9,1.0,2.9,0.332,0.471
1630540,Miles McBride,64,36,28,0.2,0.9,0.232,0.5,0.1,0.4,0.185,0.277
1628420,Monte Morris,62,28,34,1.6,3.6,0.462,3.7,0.4,1.1,0.362,0.518
1630541,Moses Moody,63,37,26,0.2,0.4,0.435,0.4,0.1,0.2,0.333,0.522
1629642,Nassir Little,54,22,32,0.7,1.6,0.414,1.6,0.3,0.7,0.389,0.494
1629638,Nickeil Alexander-Walker,59,29,30,0.6,1.4,0.422,1.5,0.3,0.8,0.408,0.542
201587,Nicolas Batum,78,44,34,0.1,0.2,0.471,0.3,0.1,0.2,0.583,0.676
1626181,Norman Powell,60,31,29,1.2,3.2,0.389,3.0,0.5,1.5,0.337,0.468
1630534,Ochai Agbaji,59,29,30,0.3,0.9,0.288,0.6,0.1,0.6,0.235,0.365
1629052,Oshae Brissett,65,27,38,0.1,0.3,0.211,0.2,0.0,0.2,0.3,0.289
1628408,PJ Dozier,16,11,5,0.3,0.9,0.286,0.6,0.1,0.3,0.2,0.321
1626192,Pat Connaughton,61,43,18,0.1,0.3,0.5,0.4,0.1,0.2,0.467,0.694
201976,Patrick Beverley,67,34,33,0.3,0.8,0.411,0.9,0.2,0.6,0.324,0.518
201988,Patty Mills,40,18,22,0.8,1.9,0.416,1.9,0.3,0.7,0.414,0.494
1630202,Payton Pritchard,48,32,16,0.5,1.5,0.338,1.4,0.4,1.1,0.327,0.458
1631212,Peyton Watson,23,13,10,0.0,0.3,0.167,0.1,0.0,0.0,0.0,0.167
1629656,Quentin Grimes,71,41,30,0.3,1.0,0.26,0.8,0.2,0.8,0.291,0.37
1631245,Quenton Jackson,9,3,6,0.3,0.7,0.5,0.7,0.0,0.2,0.0,0.5
1630181,R.J. Hampton,47,9,38,0.4,1.1,0.327,0.9,0.1,0.5,0.28,0.394
1629628,RJ Barrett,73,40,33,0.5,2.2,0.248,1.2,0.1,0.7,0.196,0.28
203526,Raul Neto,48,31,17,0.3,0.5,0.565,0.6,0.0,0.2,0.222,0.609
203493,Reggie Bullock,78,37,41,0.1,0.5,0.25,0.3,0.0,0.3,0.15,0.288
202704,Reggie Jackson,68,36,32,1.2,3.3,0.359,2.6,0.3,1.2,0.22,0.399
201937,Ricky Rubio,33,23,10,1.0,2.4,0.413,2.2,0.2,0.7,0.208,0.444
203585,Rodney McGruder,32,4,28,0.3,0.8,0.44,0.9,0.3,0.4,0.571,0.6
1629641,Romeo Langford,43,14,29,0.5,1.0,0.465,0.9,0.0,0.1,0.0,0.465
200752,Rudy Gay,56,29,27,0.7,1.7,0.409,1.5,0.1,0.3,0.316,0.441
201566,Russell Westbrook,73,36,37,1.3,3.8,0.351,3.0,0.4,1.3,0.292,0.402
1627853,Ryan Arcidiacono,20,9,11,0.1,0.6,0.083,0.2,0.1,0.3,0.2,0.125
1631157,Ryan Rollins,12,5,7,0.0,0.2,0.0,0.0,0.0,0.1,0.0,0.0
1630240,Saben Lee,25,15,10,0.2,1.0,0.25,0.6,0.1,0.4,0.273,0.313
1630241,Sam Merrill,5,4,1,0.8,1.6,0.5,2.2,0.6,1.4,0.429,0.688
1630590,Scotty Pippen Jr.,6,1,5,0.2,0.8,0.2,0.5,0.2,0.3,0.5,0.3
203552,Seth Curry,61,37,24,1.7,3.5,0.491,3.9,0.5,1.1,0.412,0.556
1631101,Shaedon Sharpe,80,32,48,0.9,2.9,0.323,2.3,0.4,1.6,0.25,0.392
1628983,Shai Gilgeous-Alexander,68,33,35,4.2,9.0,0.462,8.9,0.6,1.7,0.356,0.497
1629003,Shake Milton,76,52,24,0.6,1.7,0.349,1.3,0.1,0.4,0.303,0.388
1627885,Shaquille Harrison,5,1,4,0.4,1.6,0.25,1.0,0.2,0.6,0.333,0.313
1630219,Skylar Mays,6,1,5,2.3,4.0,0.583,5.5,0.8,1.2,0.714,0.688
203915,Spencer Dinwiddie,79,41,38,2.0,5.5,0.36,5.2,1.2,3.5,0.335,0.467
1626169,Stanley Johnson,30,5,25,0.3,0.7,0.455,0.7,0.1,0.2,0.4,0.5
1630649,Stanley Umude,1,0,1,0.0,0.0,,0.0,0.0,0.0,,
201939,Stephen Curry,56,30,26,4.0,8.8,0.454,10.7,2.7,6.0,0.451,0.609
1628425,Sterling Brown,4,2,2,0.0,0.0,,0.0,0.0,0.0,,
1629004,Svi Mykhailiuk,32,16,16,0.8,2.0,0.375,2.0,0.5,1.3,0.405,0.508
204456,T.J. McConnell,75,31,44,1.1,2.0,0.553,2.3,0.1,0.2,0.625,0.587
1629659,Talen Horton-Tucker,65,30,35,1.0,2.8,0.341,2.3,0.4,1.4,0.28,0.412
1629611,Terance Mann,81,44,37,0.6,1.4,0.407,1.4,0.2,0.7,0.37,0.496
1629056,Terence Davis,64,38,26,0.5,1.3,0.372,1.4,0.4,1.0,0.391,0.517
203082,Terrence Ross,63,27,36,1.3,2.8,0.449,2.7,0.2,0.8,0.271,0.486
1626179,Terry Rozier,63,19,44,3.1,8.3,0.373,7.5,1.4,4.3,0.314,0.456
1630177,Theo Maledon,44,14,30,0.6,1.9,0.329,1.5,0.2,0.9,0.2,0.376
1629033,Theo Pinson,40,19,21,0.1,0.3,0.455,0.4,0.1,0.2,0.444,0.636
203501,Tim Hardaway Jr.,71,37,34,1.3,3.5,0.367,3.2,0.6,1.7,0.358,0.457
1629027,Trae Young,73,38,35,3.9,10.1,0.387,9.5,1.6,5.0,0.327,0.468
1630200,Tre Jones,68,20,48,1.5,3.9,0.391,3.1,0.1,0.5,0.188,0.402
1630544,Tre Mann,67,31,36,1.3,3.5,0.359,3.2,0.7,2.3,0.305,0.457
1630235,Trent Forrest,23,9,14,0.3,0.6,0.5,0.6,0.0,0.0,0.0,0.5
1630243,Trevelin Queen,7,2,5,0.1,1.6,0.091,0.4,0.1,1.4,0.1,0.136
1631309,Trevor Hudgins,5,0,5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1631211,Trevor Keels,3,3,0,0.0,0.0,,0.0,0.0,0.0,,
1628972,Troy Brown Jr.,76,40,36,0.3,0.9,0.328,0.7,0.1,0.4,0.313,0.403
1629660,Ty Jerome,45,22,23,0.8,1.8,0.446,1.9,0.2,0.6,0.407,0.512
1631102,TyTy Washington Jr.,31,6,25,0.8,2.4,0.351,1.8,0.2,0.7,0.217,0.385
1628416,Tyler Dorsey,3,2,1,1.0,1.0,1.0,2.0,0.0,0.0,,1.0
1629639,Tyler Herro,67,37,30,3.2,8.0,0.393,7.8,1.4,3.9,0.369,0.482
1630169,Tyrese Haliburton,56,28,28,3.1,7.4,0.417,8.4,2.2,5.5,0.397,0.564
1631213,Tyrese Martin,16,10,6,0.2,0.3,0.6,0.4,0.1,0.1,1.0,0.7
1630178,Tyrese Maxey,60,39,21,2.3,5.6,0.417,5.7,1.0,2.6,0.387,0.506
1626145,Tyus Jones,80,51,29,1.8,3.9,0.444,3.9,0.4,1.2,0.365,0.5
203506,Victor Oladipo,42,23,19,1.5,3.8,0.404,3.9,0.8,2.1,0.371,0.506
1631246,Vince Williams Jr.,15,7,8,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0
1630249,Vit Krejci,29,15,14,0.1,0.2,0.429,0.3,0.1,0.2,0.4,0.571
1631111,Wendell Moore Jr.,29,16,13,0.0,0.2,0.2,0.1,0.0,0.1,0.5,0.3
202083,Wesley Matthews,52,37,15,0.1,0.4,0.273,0.3,0.1,0.3,0.267,0.364
203115,Will Barton,56,27,29,0.8,2.4,0.328,2.0,0.4,1.4,0.316,0.416
1629875,Xavier Moon,4,2,2,0.3,1.5,0.167,0.5,0.0,0.3,0.0,0.167
1629139,Yuta Watanabe,58,30,28,0.1,0.3,0.222,0.1,0.0,0.1,0.0,0.222
203897,Zach LaVine,77,38,39,3.0,7.6,0.387,7.2,1.3,3.9,0.342,0.474
