PLAYER_ID,PLAYER_NAME,GP,W,L,TOUCHES,PAINT_TOUCHES,PAINT_TOUCH_FGM,PAINT_TOUCH_FGA,PAINT_TOUCH_FG_PCT,PAINT_TOUCH_FTM,PAINT_TOUCH_FTA,PAINT_TOUCH_FT_PCT,PAINT_TOUCH_PTS,PAINT_TOUCH_PTS_PCT,PAINT_TOUCH_PASSES,PAINT_TOUCH_PASSES_PCT,PAINT_TOUCH_AST,PAINT_TOUCH_AST_PCT,PAINT_TOUCH_TOV,PAINT_TOUCH_TOV_PCT,PAINT_TOUCH_FOULS,PAINT_TOUCH_FOULS_PCT
1630217,Desmond Bane,58,38,20,63.8,0.9,0.4,0.6,0.636,0.1,0.1,1.0,0.9,0.98,0.2,0.255,0.0,0.02,0.0,0.02,0.1,0.059
1626164,Devin Booker,53,34,19,64.1,1.4,0.5,0.8,0.61,0.2,0.2,0.833,1.1,0.773,0.3,0.24,0.1,0.04,0.1,0.053,0.1,0.067
1630170,Devin Vassell,38,12,26,53.2,0.6,0.2,0.4,0.571,0.1,0.1,0.75,0.5,0.905,0.1,0.238,0.0,0.0,0.0,0.0,0.1,0.095
1629653,Devon Dotson,6,1,5,16.3,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1628984,Devonte' Graham,73,31,42,34.9,0.2,0.1,0.1,1.0,0.0,0.0,0.0,0.1,0.667,0.1,0.417,0.0,0.083,0.0,0.25,0.0,0.0
1628415,Dillon Brooks,73,46,27,41.2,0.8,0.3,0.5,0.525,0.1,0.1,1.0,0.7,0.828,0.2,0.19,0.0,0.017,0.0,0.052,0.0,0.034
1628378,Donovan Mitchell,68,44,24,67.7,1.0,0.4,0.6,0.634,0.0,0.0,0.5,0.8,0.8,0.2,0.229,0.0,0.014,0.1,0.086,0.0,0.014
1631495,Donovan Williams,2,1,1,3.5,0.5,0.5,0.5,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1628978,Donte DiVincenzo,71,41,30,48.3,1.6,0.5,0.7,0.604,0.1,0.1,1.0,1.0,0.637,0.7,0.416,0.1,0.071,0.1,0.035,0.0,0.018
1630696,Dru Smith,15,7,8,18.7,0.4,0.1,0.1,1.0,0.0,0.0,0.0,0.1,0.333,0.3,0.667,0.0,0.0,0.1,0.167,0.0,0.0
1630613,Duane Washington Jr.,31,17,14,30.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0
1629685,Dylan Windler,3,3,0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1630700,Dyson Daniels,59,33,26,29.1,0.8,0.3,0.4,0.783,0.0,0.0,1.0,0.7,0.813,0.3,0.375,0.1,0.083,0.1,0.063,0.0,0.021
1628410,Edmond Sumner,53,33,20,23.4,0.6,0.3,0.4,0.737,0.1,0.1,1.0,0.7,1.061,0.2,0.273,0.1,0.121,0.0,0.061,0.0,0.061
201569,Eric Gordon,69,25,44,38.6,0.4,0.2,0.3,0.737,0.1,0.1,1.0,0.5,1.28,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.08
203095,Evan Fournier,27,15,12,22.3,0.2,0.1,0.1,0.667,0.0,0.0,0.0,0.1,0.8,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0
1630267,Facundo Campazzo,8,2,6,14.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.1,1.0,0.0,0.0,0.0,0.0
1628402,Frank Jackson,1,0,1,10.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1628373,Frank Ntilikina,47,20,27,17.8,0.2,0.0,0.1,0.5,0.0,0.0,0.0,0.1,0.5,0.0,0.125,0.0,0.125,0.0,0.25,0.0,0.0
1627832,Fred VanVleet,69,34,35,84.6,0.2,0.1,0.1,0.6,0.0,0.0,0.0,0.2,0.8,0.1,0.333,0.0,0.2,0.0,0.0,0.0,0.0
1627788,Furkan Korkmaz,37,24,13,14.2,0.4,0.2,0.2,0.75,0.1,0.2,0.5,0.4,1.231,0.1,0.154,0.0,0.0,0.0,0.0,0.1,0.231
1629216,Gabe Vincent,68,37,31,43.1,0.4,0.1,0.2,0.571,0.1,0.1,1.0,0.3,0.7,0.2,0.4,0.0,0.067,0.0,0.067,0.0,0.0
1628221,Gabe York,3,1,2,20.7,0.3,0.3,0.3,1.0,0.0,0.0,0.0,0.7,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202066,Garrett Temple,25,16,9,8.3,0.2,0.0,0.1,0.333,0.0,0.0,0.0,0.1,0.333,0.1,0.5,0.0,0.167,0.0,0.0,0.0,0.0
1629726,Garrison Mathews,54,16,38,13.9,0.1,0.1,0.1,0.75,0.0,0.0,0.0,0.1,1.167,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0
203914,Gary Harris,48,22,26,21.5,0.6,0.2,0.2,0.727,0.1,0.1,1.0,0.4,0.778,0.2,0.37,0.0,0.0,0.0,0.074,0.0,0.074
1627780,Gary Payton II,22,13,9,23.1,2.3,0.8,1.2,0.654,0.1,0.1,1.0,1.6,0.72,0.9,0.4,0.1,0.04,0.1,0.04,0.0,0.02
1629018,Gary Trent Jr.,66,31,35,38.6,0.6,0.3,0.4,0.63,0.1,0.1,0.667,0.6,1.026,0.1,0.205,0.0,0.026,0.0,0.026,0.0,0.077
201588,George Hill,46,27,19,31.7,0.5,0.1,0.2,0.556,0.0,0.0,0.5,0.2,0.458,0.3,0.542,0.0,0.083,0.0,0.0,0.0,0.042
201609,Goran Dragic,57,26,31,33.2,0.2,0.1,0.1,0.667,0.0,0.0,1.0,0.2,0.833,0.1,0.25,0.0,0.083,0.0,0.0,0.0,0.083
1628960,Grayson Allen,72,53,19,35.0,1.0,0.3,0.3,0.72,0.0,0.0,1.0,0.5,0.551,0.6,0.594,0.1,0.087,0.0,0.014,0.0,0.014
1628977,Hamidou Diallo,55,12,43,27.8,2.0,1.0,1.4,0.711,0.3,0.4,0.667,2.4,1.204,0.2,0.093,0.1,0.028,0.2,0.093,0.2,0.111
1630193,Immanuel Quickley,81,47,34,52.0,0.4,0.1,0.1,0.636,0.0,0.0,1.0,0.2,0.5,0.2,0.559,0.0,0.118,0.0,0.059,0.0,0.029
1630171,Isaac Okoro,76,48,28,19.8,1.1,0.4,0.6,0.762,0.1,0.2,0.625,1.0,0.884,0.4,0.384,0.2,0.14,0.0,0.035,0.1,0.093
1630198,Isaiah Joe,73,36,37,25.2,0.4,0.1,0.2,0.571,0.1,0.1,0.8,0.3,0.806,0.1,0.29,0.0,0.032,0.0,0.032,0.1,0.161
202397,Ish Smith,43,25,18,21.7,0.2,0.0,0.1,0.5,0.0,0.0,0.0,0.1,0.4,0.1,0.4,0.0,0.1,0.0,0.2,0.0,0.0
1631120,JD Davison,12,11,1,9.6,0.1,0.1,0.1,1.0,0.0,0.0,0.0,0.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1629630,Ja Morant,61,40,21,77.0,1.4,0.7,1.0,0.678,0.1,0.1,0.667,1.4,0.977,0.3,0.207,0.0,0.034,0.1,0.057,0.0,0.034
1631367,Jacob Gilyard,1,0,1,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1630702,Jaden Hardy,48,20,28,25.3,0.2,0.1,0.1,0.833,0.0,0.0,0.0,0.2,1.0,0.1,0.4,0.0,0.1,0.0,0.0,0.0,0.0
1631093,Jaden Ivey,73,16,57,58.3,1.4,0.4,0.8,0.526,0.1,0.2,0.714,1.0,0.695,0.5,0.314,0.1,0.095,0.1,0.048,0.1,0.067
1630531,Jaden Springer,16,13,3,5.3,0.6,0.4,0.4,0.857,0.1,0.1,0.5,0.8,1.3,0.1,0.2,0.0,0.0,0.0,0.0,0.1,0.1
1628973,Jalen Brunson,68,40,28,84.3,0.3,0.1,0.1,0.6,0.0,0.0,0.0,0.2,0.522,0.2,0.565,0.1,0.174,0.0,0.0,0.0,0.0
1630224,Jalen Green,76,20,56,65.9,0.9,0.4,0.6,0.667,0.1,0.2,0.667,0.9,0.929,0.1,0.157,0.0,0.014,0.1,0.086,0.1,0.086
1630591,Jalen Suggs,53,20,33,43.1,1.3,0.2,0.5,0.444,0.3,0.4,0.842,0.8,0.592,0.5,0.352,0.2,0.141,0.1,0.085,0.2,0.127
1631114,Jalen Williams,75,36,39,46.5,2.2,1.0,1.4,0.709,0.4,0.4,0.933,2.3,1.042,0.5,0.244,0.1,0.042,0.1,0.054,0.2,0.089
1627750,Jamal Murray,65,43,22,71.4,1.2,0.5,0.6,0.714,0.1,0.1,0.833,1.0,0.848,0.4,0.329,0.0,0.025,0.1,0.063,0.0,0.038
1631123,Jamaree Bouyea,5,2,3,23.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1630547,James Bouknight,34,9,25,22.4,0.3,0.0,0.2,0.143,0.0,0.0,0.0,0.1,0.2,0.1,0.3,0.1,0.2,0.0,0.0,0.0,0.0
201935,James Harden,58,39,19,93.5,0.7,0.1,0.4,0.333,0.1,0.1,1.0,0.3,0.462,0.3,0.385,0.1,0.077,0.0,0.0,0.0,0.051
1630215,Jared Butler,6,3,3,25.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1631197,Jared Rhoden,14,2,12,17.1,1.0,0.3,0.4,0.667,0.0,0.0,0.0,0.6,0.571,0.5,0.5,0.1,0.071,0.1,0.071,0.0,0.0
1629633,Jarrett Culver,10,5,5,20.5,1.2,0.4,0.7,0.571,0.4,0.6,0.667,1.2,1.0,0.1,0.083,0.0,0.0,0.0,0.0,0.3,0.25
1630554,Jason Preston,14,4,10,22.1,0.1,0.1,0.1,1.0,0.0,0.0,0.0,0.1,1.0,0.1,0.5,0.1,0.5,0.0,0.0,0.0,0.0
1629750,Javonte Green,32,13,19,21.8,1.7,0.9,1.2,0.789,0.2,0.3,0.625,2.1,1.222,0.2,0.13,0.0,0.019,0.1,0.037,0.1,0.074
1630206,Jay Scrubb,2,1,1,24.5,0.5,0.0,0.0,0.0,0.5,1.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0
1627759,Jaylen Brown,67,46,21,64.0,2.4,0.9,1.6,0.574,0.2,0.3,0.706,2.1,0.886,0.5,0.196,0.1,0.032,0.1,0.038,0.1,0.051
1629669,Jaylen Nowell,65,34,31,33.2,0.7,0.4,0.6,0.632,0.0,0.0,1.0,0.8,1.085,0.1,0.106,0.0,0.043,0.0,0.021,0.0,0.021
1628369,Jayson Tatum,74,52,22,74.9,3.0,1.2,1.8,0.679,0.4,0.4,0.938,2.9,0.982,0.7,0.232,0.2,0.073,0.1,0.045,0.2,0.068
1631466,Jeenathan Williams,4,1,3,18.8,2.3,1.0,1.8,0.571,0.0,0.0,0.0,2.0,0.889,0.5,0.222,0.0,0.0,0.0,0.0,0.0,0.0
1630288,Jeff Dowtin Jr.,25,17,8,17.6,0.4,0.1,0.2,0.5,0.1,0.1,1.0,0.2,0.667,0.1,0.333,0.0,0.0,0.0,0.111,0.0,0.111
1628975,Jevon Carter,81,57,24,38.5,0.5,0.1,0.1,0.556,0.0,0.0,0.0,0.1,0.227,0.4,0.773,0.0,0.091,0.0,0.023,0.0,0.0
203925,Joe Harris,74,40,34,21.8,0.5,0.3,0.3,0.864,0.0,0.0,0.0,0.5,0.974,0.2,0.359,0.0,0.077,0.0,0.026,0.0,0.0
204060,Joe Ingles,46,32,14,33.2,0.2,0.0,0.1,0.667,0.0,0.0,0.0,0.1,0.444,0.1,0.667,0.0,0.111,0.0,0.0,0.0,0.0
1630580,Joe Wieskamp,9,6,3,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1629723,John Konchar,72,45,27,30.1,1.1,0.5,0.6,0.75,0.1,0.1,0.667,1.0,0.901,0.4,0.37,0.1,0.049,0.0,0.025,0.0,0.037
202322,John Wall,34,15,19,55.4,0.2,0.1,0.1,0.75,0.0,0.0,0.0,0.2,0.75,0.1,0.25,0.0,0.125,0.0,0.125,0.0,0.0
1631098,Johnny Davis,28,10,18,20.0,0.4,0.3,0.3,0.778,0.0,0.0,0.0,0.5,1.167,0.1,0.167,0.0,0.0,0.0,0.083,0.0,0.0
1630548,Johnny Juzang,18,6,12,16.3,0.4,0.1,0.2,0.5,0.0,0.0,0.0,0.2,0.5,0.2,0.375,0.0,0.0,0.0,0.0,0.0,0.0
203903,Jordan Clarkson,61,30,31,56.1,1.4,0.5,0.9,0.611,0.1,0.2,0.9,1.2,0.871,0.3,0.212,0.0,0.035,0.1,0.059,0.1,0.071
1630692,Jordan Goodwin,62,22,40,37.9,1.1,0.3,0.6,0.538,0.1,0.2,0.9,0.8,0.75,0.3,0.279,0.1,0.074,0.1,0.059,0.1,0.074
1631160,Jordan Hall,9,1,8,17.8,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.667,0.0,0.0,0.0,0.0,0.0,0.0
1629162,Jordan McLaughlin,42,21,21,35.5,0.4,0.1,0.1,1.0,0.0,0.0,0.0,0.3,0.667,0.2,0.556,0.0,0.111,0.0,0.111,0.0,0.0
1629673,Jordan Poole,81,43,38,65.7,0.9,0.3,0.5,0.59,0.2,0.2,0.929,0.7,0.822,0.2,0.233,0.0,0.041,0.1,0.096,0.1,0.096
1630648,Jordan Schakel,2,0,2,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1630631,Jose Alvarado,61,30,31,46.0,0.6,0.1,0.2,0.7,0.1,0.1,1.0,0.3,0.444,0.3,0.583,0.0,0.028,0.0,0.028,0.0,0.028
1630528,Josh Christopher,64,16,48,18.7,0.4,0.2,0.2,0.714,0.0,0.0,0.0,0.3,0.769,0.1,0.231,0.0,0.0,0.0,0.077,0.0,0.0
1630581,Josh Giddey,76,34,42,76.7,2.9,1.2,2.0,0.591,0.2,0.3,0.632,2.5,0.835,0.6,0.214,0.1,0.04,0.1,0.049,0.1,0.036
1630182,Josh Green,60,27,33,34.2,1.4,0.2,0.3,0.632,0.1,0.1,0.375,0.5,0.329,0.8,0.585,0.2,0.11,0.2,0.11,0.1,0.049
1628404,Josh Hart,76,42,34,43.7,1.9,0.5,0.7,0.698,0.2,0.3,0.636,1.2,0.624,0.9,0.461,0.1,0.057,0.1,0.043,0.1,0.078
1629006,Josh Okogie,72,38,34,23.7,1.6,0.3,0.7,0.48,0.3,0.4,0.731,0.9,0.588,0.7,0.412,0.1,0.088,0.0,0.026,0.2,0.114
1626196,Josh Richardson,64,24,40,41.7,0.8,0.3,0.4,0.68,0.0,0.0,0.0,0.5,0.7,0.3,0.42,0.0,0.04,0.0,0.04,0.0,0.0
1630563,Joshua Primo,4,3,1,43.0,1.0,0.0,0.0,0.0,0.5,0.5,1.0,0.5,0.5,0.8,0.75,0.0,0.0,0.0,0.0,0.3,0.25
201950,Jrue Holiday,67,50,17,73.1,2.4,0.7,1.2,0.633,0.1,0.1,1.0,1.6,0.675,1.0,0.425,0.2,0.094,0.1,0.044,0.0,0.019
