PLAYER_ID,PLAYER_NAME,GP,W,L,CATCH_SHOOT_FGM,CATCH_SHOOT_FGA,CATCH_SHOOT_FG_PCT,CATCH_SHOOT_PTS,CATCH_SHOOT_FG3M,CATCH_SHOOT_FG3A,CATCH_SHOOT_FG3_PCT,CATCH_SHOOT_EFG_PCT
1629632,Coby White,74,37,37,1.5,3.9,0.392,4.5,1.5,3.8,0.387,0.584
1630175,Cole Anthony,60,28,32,0.9,2.5,0.371,2.7,0.8,2.4,0.345,0.533
1629012,Collin Sexton,48,24,24,0.6,1.7,0.363,1.8,0.6,1.6,0.351,0.531
202709,Cory Joseph,62,12,50,0.8,1.9,0.41,2.3,0.8,1.9,0.414,0.615
1626156,D'Angelo Russell,71,39,32,1.6,3.9,0.416,4.7,1.5,3.7,0.408,0.613
1630227,Daishen Nix,57,15,42,0.4,1.6,0.255,1.3,0.4,1.6,0.258,0.383
203081,Damian Lillard,58,27,31,1.5,4.0,0.372,4.3,1.4,3.8,0.362,0.545
1627814,Damion Lee,74,40,34,1.5,3.2,0.463,4.5,1.5,3.1,0.47,0.688
201980,Danny Green,11,6,5,1.3,2.9,0.438,3.8,1.3,2.7,0.467,0.656
1627863,Danuel House Jr.,56,38,18,0.4,1.3,0.347,1.3,0.4,1.3,0.338,0.514
1629636,Darius Garland,69,40,29,1.1,2.7,0.432,3.4,1.1,2.5,0.44,0.642
1630561,David Duke Jr.,23,10,13,0.0,0.5,0.091,0.1,0.0,0.5,0.091,0.136
1630558,Davion Mitchell,80,47,33,0.6,1.7,0.346,1.8,0.6,1.7,0.346,0.518
1628432,Davon Reed,43,29,14,0.3,0.9,0.325,0.9,0.3,0.9,0.333,0.488
1628368,De'Aaron Fox,73,44,29,0.9,2.4,0.36,2.5,0.8,2.3,0.343,0.523
1629631,De'Andre Hunter,67,35,32,1.5,4.2,0.36,4.3,1.2,3.6,0.339,0.505
1629001,De'Anthony Melton,77,50,27,1.7,4.0,0.418,4.9,1.6,3.9,0.414,0.623
201942,DeMar DeRozan,74,37,37,1.0,2.5,0.39,2.4,0.5,1.5,0.325,0.492
1627749,Dejounte Murray,74,38,36,1.2,3.6,0.323,3.4,1.1,3.4,0.324,0.476
1626153,Delon Wright,50,26,24,0.5,1.5,0.342,1.5,0.5,1.5,0.338,0.507
203471,Dennis Schroder,66,37,29,1.0,2.9,0.356,3.0,1.0,2.8,0.351,0.526
1628372,Dennis Smith Jr.,54,19,35,0.4,1.7,0.258,1.3,0.4,1.7,0.25,0.382
1629126,Deonte Burton,2,1,1,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0
1631220,Dereon Seabron,5,2,3,0.0,0.0,,0.0,,,,
201565,Derrick Rose,27,12,15,0.3,1.4,0.216,0.9,0.3,1.3,0.222,0.324
1628401,Derrick White,82,57,25,1.5,3.8,0.387,4.4,1.5,3.8,0.39,0.58
1630217,Desmond Bane,58,38,20,1.5,3.7,0.41,4.5,1.4,3.5,0.405,0.601
1626164,Devin Booker,53,34,19,1.2,2.5,0.463,3.2,0.9,2.0,0.444,0.642
1630170,Devin Vassell,38,12,26,2.3,5.3,0.424,6.6,2.1,4.9,0.432,0.621
1629653,Devon Dotson,6,1,5,0.2,0.5,0.333,0.5,0.2,0.5,0.333,0.5
1628984,Devonte' Graham,73,31,42,1.0,2.7,0.367,3.0,1.0,2.7,0.367,0.551
1628415,Dillon Brooks,73,46,27,1.4,4.1,0.344,4.2,1.4,3.8,0.356,0.512
1628378,Donovan Mitchell,68,44,24,1.4,3.7,0.378,4.2,1.3,3.6,0.376,0.557
1631495,Donovan Williams,2,1,1,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0
1628978,Donte DiVincenzo,72,42,30,1.8,4.4,0.422,5.5,1.8,4.3,0.424,0.632
1630696,Dru Smith,15,7,8,0.3,0.9,0.385,1.0,0.3,0.9,0.385,0.577
1630613,Duane Washington Jr.,31,17,14,0.7,2.3,0.314,2.1,0.6,2.1,0.308,0.457
1629685,Dylan Windler,3,3,0,0.3,0.7,0.5,1.0,0.3,0.7,0.5,0.75
1630700,Dyson Daniels,59,33,26,0.4,1.2,0.338,1.2,0.4,1.2,0.343,0.507
1628410,Edmond Sumner,53,33,20,0.5,1.4,0.373,1.6,0.5,1.4,0.365,0.553
201569,Eric Gordon,69,25,44,1.4,3.9,0.369,4.3,1.4,3.8,0.37,0.552
203095,Evan Fournier,27,15,12,0.8,2.4,0.333,2.4,0.8,2.4,0.338,0.5
1630267,Facundo Campazzo,8,2,6,0.3,0.8,0.333,0.8,0.3,0.8,0.333,0.5
1628402,Frank Jackson,1,0,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1628373,Frank Ntilikina,47,20,27,0.4,1.3,0.279,1.0,0.3,1.2,0.25,0.393
1627832,Fred VanVleet,69,34,35,1.6,4.4,0.35,4.6,1.5,4.3,0.35,0.52
1627788,Furkan Korkmaz,37,24,13,0.4,0.9,0.371,1.1,0.4,0.9,0.394,0.557
1629216,Gabe Vincent,68,37,31,1.2,3.3,0.352,3.5,1.1,3.3,0.347,0.522
1628221,Gabe York,3,1,2,2.0,4.7,0.429,6.0,2.0,4.7,0.429,0.643
202066,Garrett Temple,25,16,9,0.4,0.9,0.409,1.1,0.4,0.8,0.429,0.614
1629726,Garrison Mathews,54,16,38,1.0,2.8,0.356,2.9,1.0,2.7,0.354,0.53
203914,Gary Harris,48,22,26,1.7,3.9,0.428,5.0,1.7,3.9,0.428,0.642
1627780,Gary Payton II,22,13,9,0.6,1.2,0.519,1.9,0.6,1.2,0.5,0.759
1629018,Gary Trent Jr.,66,31,35,1.9,4.7,0.401,5.7,1.9,4.6,0.405,0.598
201588,George Hill,46,27,19,0.6,1.5,0.4,1.8,0.6,1.5,0.391,0.593
201609,Goran Dragic,58,27,31,0.8,1.8,0.425,2.3,0.8,1.8,0.441,0.637
1628960,Grayson Allen,72,53,19,1.5,3.7,0.417,4.6,1.5,3.7,0.414,0.623
1628977,Hamidou Diallo,56,12,44,0.2,0.5,0.333,0.4,0.1,0.3,0.176,0.389
1630193,Immanuel Quickley,81,47,34,1.2,3.1,0.393,3.6,1.2,3.0,0.393,0.583
1630171,Isaac Okoro,76,48,28,0.8,2.1,0.366,2.3,0.8,2.1,0.366,0.55
1630198,Isaiah Joe,73,36,37,1.8,4.3,0.418,5.3,1.8,4.2,0.423,0.627
202397,Ish Smith,43,25,18,0.0,0.1,0.333,0.1,0.0,0.1,0.333,0.5
1631120,JD Davison,12,11,1,0.3,0.6,0.429,0.7,0.2,0.5,0.333,0.571
1629630,Ja Morant,61,40,21,0.6,1.6,0.351,1.7,0.5,1.6,0.347,0.521
1631367,Jacob Gilyard,1,0,1,1.0,2.0,0.5,3.0,1.0,2.0,0.5,0.75
1630702,Jaden Hardy,48,20,28,0.9,2.1,0.414,2.6,0.9,2.1,0.414,0.621
1631093,Jaden Ivey,74,16,58,0.9,2.4,0.367,2.6,0.9,2.4,0.374,0.551
1630531,Jaden Springer,16,13,3,0.1,0.3,0.4,0.3,0.1,0.3,0.25,0.5
1628973,Jalen Brunson,68,40,28,0.9,1.9,0.484,2.7,0.9,1.9,0.476,0.719
1630224,Jalen Green,76,20,56,1.2,3.3,0.352,3.5,1.1,3.2,0.351,0.52
1630591,Jalen Suggs,53,20,33,0.8,2.2,0.345,2.3,0.7,2.1,0.348,0.508
1631114,Jalen Williams,75,36,39,0.9,2.3,0.366,2.5,0.8,2.3,0.363,0.543
1627750,Jamal Murray,65,43,22,1.2,2.9,0.404,3.5,1.2,2.8,0.408,0.604
1631123,Jamaree Bouyea,5,2,3,0.0,0.4,0.0,0.0,0.0,0.4,0.0,0.0
1630547,James Bouknight,34,9,25,0.6,1.8,0.339,1.9,0.6,1.8,0.344,0.508
201935,James Harden,58,39,19,0.8,1.8,0.421,2.3,0.8,1.8,0.415,0.626
1630215,Jared Butler,6,3,3,0.8,1.5,0.556,2.5,0.8,1.5,0.556,0.833
1631197,Jared Rhoden,14,2,12,0.4,1.5,0.286,1.2,0.4,1.4,0.263,0.405
1629633,Jarrett Culver,10,5,5,0.1,1.2,0.083,0.3,0.1,1.0,0.1,0.125
1630554,Jason Preston,14,4,10,0.3,1.0,0.286,0.9,0.3,1.0,0.286,0.429
1629750,Javonte Green,32,13,19,0.4,1.1,0.353,1.1,0.4,1.1,0.353,0.529
1630206,Jay Scrubb,2,1,1,0.5,0.5,1.0,1.5,0.5,0.5,1.0,1.5
1627759,Jaylen Brown,67,46,21,1.6,4.8,0.337,4.7,1.5,4.4,0.334,0.489
1629669,Jaylen Nowell,65,34,31,0.7,2.3,0.306,2.0,0.6,2.1,0.283,0.439
1628369,Jayson Tatum,74,52,22,1.9,4.6,0.411,5.5,1.7,4.2,0.405,0.595
1631466,Jeenathan Williams,5,1,4,0.6,1.4,0.429,1.8,0.6,1.4,0.429,0.643
1630288,Jeff Dowtin Jr.,25,17,8,0.2,0.5,0.308,0.5,0.2,0.5,0.308,0.462
1628975,Jevon Carter,81,57,24,1.1,2.5,0.432,3.3,1.1,2.4,0.439,0.643
203925,Joe Harris,74,40,34,1.7,4.0,0.429,5.1,1.7,3.9,0.429,0.638
204060,Joe Ingles,46,32,14,1.2,3.0,0.387,3.5,1.2,3.0,0.39,0.58
1630580,Joe Wieskamp,9,6,3,0.3,1.2,0.273,1.0,0.3,1.2,0.273,0.409
1629723,John Konchar,72,45,27,0.8,2.3,0.333,2.2,0.7,2.2,0.333,0.494
202322,John Wall,34,15,19,0.9,2.5,0.349,2.6,0.9,2.5,0.353,0.523
1631098,Johnny Davis,28,10,18,0.6,2.0,0.304,1.8,0.6,2.0,0.291,0.446
1630548,Johnny Juzang,18,6,12,0.6,2.7,0.224,1.8,0.6,2.6,0.234,0.337
203903,Jordan Clarkson,61,30,31,1.4,4.1,0.339,4.1,1.3,4.0,0.339,0.504
1630692,Jordan Goodwin,62,22,40,0.5,1.3,0.341,1.3,0.4,1.3,0.342,0.506
1631160,Jordan Hall,9,1,8,0.2,1.6,0.143,0.6,0.1,1.3,0.083,0.179
1629162,Jordan McLaughlin,43,22,21,0.4,1.3,0.296,1.1,0.4,1.3,0.296,0.444
1629673,Jordan Poole,82,44,38,1.5,4.3,0.361,4.6,1.5,4.2,0.364,0.537
1630648,Jordan Schakel,2,0,2,0.0,0.0,,0.0,0.0,0.0,,
1630631,Jose Alvarado,61,30,31,1.2,3.5,0.333,3.5,1.2,3.5,0.335,0.5
1630528,Josh Christopher,64,16,48,0.2,0.8,0.231,0.5,0.2,0.8,0.22,0.337
1630581,Josh Giddey,76,34,42,1.0,2.8,0.36,2.9,0.9,2.6,0.337,0.514
1630182,Josh Green,60,27,33,1.1,2.7,0.42,3.4,1.1,2.7,0.413,0.623
1628404,Josh Hart,76,42,34,0.8,2.0,0.401,2.4,0.8,1.9,0.408,0.599
1629006,Josh Okogie,72,38,34,0.8,2.3,0.349,2.4,0.8,2.3,0.346,0.518
1626196,Josh Richardson,65,24,41,1.6,4.1,0.381,4.6,1.4,3.9,0.372,0.558
1630563,Joshua Primo,4,3,1,0.5,2.3,0.222,1.5,0.5,2.3,0.222,0.333
201950,Jrue Holiday,67,50,17,0.8,1.9,0.452,2.5,0.8,1.8,0.454,0.669
1630551,Justin Champagnie,5,4,1,0.0,0.8,0.0,0.0,0.0,0.8,0.0,0.0
203200,Justin Holiday,46,18,28,0.9,2.7,0.328,2.6,0.8,2.6,0.328,0.488
1626159,Justise Winslow,29,15,14,0.5,1.8,0.294,1.5,0.5,1.5,0.318,0.431
1629644,KZ Okpala,35,19,16,0.2,0.6,0.333,0.6,0.2,0.6,0.333,0.5
1629640,Keldon Johnson,63,17,46,1.8,5.0,0.352,5.3,1.7,4.9,0.35,0.525
1626162,Kelly Oubre Jr.,48,16,32,1.9,5.7,0.325,5.5,1.8,5.5,0.323,0.48
202689,Kemba Walker,9,5,4,0.1,0.9,0.125,0.2,0.0,0.8,0.0,0.125
1631112,Kendall Brown,6,1,5,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0
1629134,Kendrick Nunn,70,30,40,0.7,2.0,0.345,2.0,0.6,1.9,0.336,0.507
1631113,Kennedy Chandler,36,22,14,0.1,0.3,0.182,0.2,0.1,0.3,0.182,0.273
1629026,Kenrich Williams,53,26,27,1.0,2.4,0.425,2.9,0.9,2.2,0.39,0.606
203484,Kentavious Caldwell-Pope,76,51,25,1.7,3.9,0.449,5.0,1.6,3.5,0.444,0.65
1631165,Keon Ellis,16,7,9,0.2,0.4,0.429,0.6,0.2,0.4,0.429,0.643
1630553,Keon Johnson,40,13,27,0.4,1.2,0.319,1.1,0.4,1.2,0.319,0.479
1628989,Kevin Huerter,75,44,31,1.9,4.8,0.4,5.6,1.8,4.6,0.391,0.586
1629645,Kevin Porter Jr.,59,18,41,0.9,2.0,0.425,2.6,0.8,1.9,0.435,0.633
1630284,Kevon Harris,34,12,22,0.4,0.9,0.452,1.2,0.4,0.9,0.452,0.677
1630165,Killian Hayes,76,16,60,0.8,2.6,0.303,2.3,0.7,2.4,0.29,0.438
1630184,Kira Lewis Jr.,25,11,14,0.5,1.2,0.414,1.4,0.5,1.1,0.429,0.621
202691,Klay Thompson,69,38,31,3.6,8.7,0.413,10.4,3.2,7.8,0.414,0.598
1628424,Kobi Simmons,5,1,4,0.0,0.4,0.0,0.0,0.0,0.4,0.0,0.0
1627739,Kris Dunn,22,8,14,0.6,1.4,0.433,1.8,0.6,1.3,0.448,0.65
203937,Kyle Anderson,69,36,33,0.6,1.4,0.444,1.8,0.5,1.2,0.415,0.616
200768,Kyle Lowry,55,30,25,1.2,3.6,0.338,3.7,1.2,3.6,0.34,0.508
202681,Kyrie Irving,60,32,28,1.4,3.6,0.386,4.0,1.2,3.2,0.378,0.556
1630163,LaMelo Ball,36,13,23,2.2,5.5,0.402,6.7,2.2,5.5,0.404,0.603
1629013,Landry Shamet,40,19,21,1.4,3.5,0.403,4.2,1.4,3.4,0.404,0.601
1631311,Lester Quinones,4,4,0,0.3,0.5,0.5,0.8,0.3,0.5,0.5,0.75
1629623,Lindell Wigginton,7,4,3,0.9,1.9,0.462,2.6,0.9,1.9,0.462,0.692
1629022,Lonnie Walker IV,56,27,29,1.4,3.7,0.388,4.2,1.4,3.6,0.383,0.575
1629652,Luguentz Dort,74,36,38,1.5,4.6,0.326,4.5,1.5,4.6,0.327,0.488
1629029,Luka Doncic,66,33,33,0.4,1.1,0.361,1.2,0.4,1.1,0.352,0.535
1628379,Luke Kennard,59,37,22,1.9,3.7,0.528,5.8,1.9,3.6,0.526,0.784
1630644,Mac McClung,2,2,0,1.5,4.5,0.333,4.5,1.5,4.5,0.333,0.5
1630201,Malachi Flynn,53,29,24,0.6,1.7,0.37,1.9,0.6,1.7,0.37,0.554
1627763,Malcolm Brogdon,67,46,21,1.0,2.4,0.443,3.1,1.0,2.3,0.442,0.661
1627736,Malik Beasley,81,45,36,2.3,6.2,0.362,6.7,2.1,6.0,0.357,0.534
1628370,Malik Monk,77,47,30,1.3,3.4,0.378,3.8,1.3,3.4,0.38,0.568
203935,Marcus Smart,61,43,18,1.6,4.5,0.347,4.7,1.5,4.5,0.344,0.516
1628365,Markelle Fultz,60,29,31,0.4,1.2,0.296,1.0,0.3,1.1,0.284,0.43
1629680,Matisse Thybulle,71,38,33,0.7,1.9,0.362,2.1,0.7,1.9,0.358,0.54
203521,Matthew Dellavedova,32,19,13,0.2,0.7,0.318,0.7,0.2,0.7,0.318,0.477
1631108,Max Christie,41,19,22,0.6,1.5,0.4,1.8,0.6,1.4,0.407,0.6
1629622,Max Strus,80,42,38,2.2,6.0,0.363,6.5,2.2,6.0,0.361,0.543
1630593,McKinley Wright IV,27,14,13,0.3,0.7,0.389,0.8,0.3,0.7,0.389,0.583
203487,Michael Carter-Williams,4,1,3,0.3,0.8,0.333,0.8,0.3,0.8,0.333,0.5
1628969,Mikal Bridges,27,12,15,2.1,5.3,0.394,6.0,1.9,4.9,0.376,0.57
201144,Mike Conley,67,34,33,1.0,2.3,0.442,3.0,1.0,2.3,0.437,0.654
1630540,Miles McBride,64,36,28,0.6,1.7,0.324,1.7,0.5,1.7,0.321,0.477
1628420,Monte Morris,62,28,34,0.9,2.2,0.391,2.6,0.8,2.1,0.386,0.576
1630541,Moses Moody,63,37,26,0.7,1.9,0.358,2.0,0.7,1.9,0.364,0.538
1629642,Nassir Little,54,22,32,0.8,2.2,0.358,2.4,0.8,2.2,0.358,0.538
1629638,Nickeil Alexander-Walker,59,29,30,0.6,1.8,0.355,1.9,0.6,1.8,0.352,0.528
201587,Nicolas Batum,78,44,34,1.5,4.0,0.381,4.6,1.5,3.9,0.384,0.569
1626181,Norman Powell,60,31,29,1.5,3.5,0.414,4.3,1.4,3.3,0.426,0.614
1630534,Ochai Agbaji,59,29,30,1.2,3.3,0.376,3.7,1.2,3.3,0.378,0.564
1629052,Oshae Brissett,65,27,38,0.7,2.2,0.308,2.0,0.7,2.2,0.308,0.462
1628408,PJ Dozier,16,11,5,0.1,0.7,0.091,0.2,0.1,0.7,0.091,0.136
1626192,Pat Connaughton,61,43,18,1.7,5.0,0.334,5.0,1.7,5.0,0.332,0.5
201976,Patrick Beverley,67,34,33,1.0,2.9,0.335,3.0,1.0,2.9,0.337,0.503
201988,Patty Mills,40,18,22,0.9,2.6,0.35,2.7,0.9,2.5,0.347,0.519
1630202,Payton Pritchard,48,32,16,0.9,2.2,0.396,2.6,0.8,2.1,0.382,0.58
1631212,Peyton Watson,23,13,10,0.3,0.6,0.462,0.8,0.3,0.6,0.462,0.692
1629656,Quentin Grimes,71,41,30,2.0,5.0,0.401,6.0,2.0,4.9,0.4,0.599
1631245,Quenton Jackson,9,3,6,0.1,1.1,0.1,0.3,0.1,1.0,0.111,0.15
1630181,R.J. Hampton,47,9,38,0.7,2.0,0.362,2.2,0.7,1.9,0.374,0.543
1629628,RJ Barrett,73,40,33,1.6,4.8,0.326,4.6,1.5,4.6,0.323,0.481
203526,Raul Neto,48,31,17,0.2,0.7,0.303,0.6,0.2,0.7,0.303,0.455
203493,Reggie Bullock,78,37,41,1.9,4.9,0.388,5.7,1.9,4.8,0.393,0.583
202704,Reggie Jackson,68,36,32,1.1,3.0,0.381,3.4,1.1,2.9,0.376,0.564
201937,Ricky Rubio,33,23,10,0.5,1.8,0.276,1.5,0.5,1.7,0.281,0.414
203585,Rodney McGruder,32,4,28,1.0,2.6,0.393,3.1,1.0,2.6,0.398,0.589
1629641,Romeo Langford,43,14,29,0.4,1.3,0.309,1.2,0.4,1.3,0.296,0.455
200752,Rudy Gay,56,29,27,0.6,2.1,0.276,1.6,0.5,1.9,0.248,0.392
201566,Russell Westbrook,73,36,37,0.8,2.4,0.32,2.3,0.8,2.4,0.32,0.477
1627853,Ryan Arcidiacono,20,9,11,0.4,0.9,0.389,1.1,0.4,0.9,0.389,0.583
1631157,Ryan Rollins,12,5,7,0.3,0.6,0.429,0.8,0.3,0.6,0.429,0.643
1630240,Saben Lee,25,15,10,0.3,0.8,0.421,1.0,0.3,0.8,0.421,0.632
1630241,Sam Merrill,5,4,1,0.4,2.2,0.182,1.2,0.4,2.2,0.182,0.273
1630590,Scotty Pippen Jr.,6,1,5,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0
203552,Seth Curry,61,37,24,1.2,2.9,0.411,3.4,1.1,2.6,0.409,0.597
1631101,Shaedon Sharpe,80,32,48,0.9,2.0,0.451,2.7,0.9,1.9,0.455,0.667
1628983,Shai Gilgeous-Alexander,68,33,35,0.3,0.9,0.356,0.9,0.2,0.7,0.32,0.492
1629003,Shake Milton,76,52,24,0.7,1.6,0.42,1.9,0.6,1.5,0.4,0.613
1627885,Shaquille Harrison,5,1,4,0.4,1.0,0.4,1.2,0.4,1.0,0.4,0.6
1630219,Skylar Mays,6,1,5,1.0,2.7,0.375,3.0,1.0,2.7,0.375,0.563
203915,Spencer Dinwiddie,79,41,38,1.1,2.6,0.413,3.3,1.1,2.6,0.417,0.618
1626169,Stanley Johnson,30,5,25,0.6,1.2,0.472,1.6,0.5,1.1,0.455,0.681
1630649,Stanley Umude,1,0,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
201939,Stephen Curry,56,30,26,2.2,5.3,0.417,6.5,2.1,5.1,0.416,0.619
1628425,Sterling Brown,4,2,2,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0
1629004,Svi Mykhailiuk,32,16,16,0.8,1.9,0.443,2.5,0.8,1.8,0.439,0.648
204456,T.J. McConnell,75,31,44,0.2,0.7,0.347,0.6,0.2,0.5,0.341,0.49
1629659,Talen Horton-Tucker,65,30,35,0.5,1.7,0.294,1.5,0.5,1.6,0.299,0.44
1629611,Terance Mann,81,44,37,0.7,1.8,0.393,2.1,0.7,1.8,0.399,0.59
1629056,Terence Davis,64,38,26,1.0,2.8,0.361,3.0,1.0,2.8,0.358,0.539
203082,Terrence Ross,63,27,36,1.4,3.6,0.382,4.0,1.3,3.3,0.388,0.559
1626179,Terry Rozier,63,19,44,1.3,3.7,0.352,3.8,1.2,3.5,0.338,0.515
1630177,Theo Maledon,44,14,30,0.5,1.3,0.375,1.4,0.4,1.2,0.358,0.545
1629033,Theo Pinson,40,19,21,0.4,1.3,0.327,1.3,0.4,1.3,0.327,0.49
203501,Tim Hardaway Jr.,71,37,34,2.5,6.2,0.397,7.3,2.4,6.0,0.393,0.586
1629027,Trae Young,73,38,35,0.5,1.3,0.361,1.4,0.5,1.3,0.37,0.536
1630200,Tre Jones,68,20,48,0.5,1.7,0.31,1.6,0.5,1.7,0.301,0.457
1630544,Tre Mann,67,31,36,0.5,1.6,0.336,1.6,0.5,1.6,0.33,0.5
1630235,Trent Forrest,23,9,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1630243,Trevelin Queen,7,2,5,0.1,0.7,0.2,0.4,0.1,0.7,0.2,0.3
1631309,Trevor Hudgins,5,0,5,0.4,0.6,0.667,1.2,0.4,0.6,0.667,1.0
1631211,Trevor Keels,3,3,0,0.3,1.3,0.25,1.0,0.3,1.3,0.25,0.375
1628972,Troy Brown Jr.,76,40,36,1.3,3.3,0.391,3.9,1.3,3.3,0.39,0.583
1629660,Ty Jerome,45,22,23,0.5,1.4,0.393,1.6,0.5,1.4,0.393,0.59
1631102,TyTy Washington Jr.,31,6,25,0.5,1.8,0.246,1.4,0.5,1.8,0.246,0.368
1628416,Tyler Dorsey,3,2,1,0.3,0.7,0.5,1.0,0.3,0.7,0.5,0.75
1629639,Tyler Herro,67,37,30,1.6,4.2,0.39,4.9,1.6,4.1,0.383,0.576
1630169,Tyrese Haliburton,56,28,28,0.7,1.7,0.398,2.0,0.7,1.7,0.398,0.597
1631213,Tyrese Martin,16,10,6,0.0,0.4,0.0,0.0,0.0,0.4,0.0,0.0
1630178,Tyrese Maxey,60,39,21,1.6,3.6,0.451,4.8,1.6,3.5,0.455,0.676
1626145,Tyus Jones,80,51,29,1.1,2.9,0.376,3.2,1.1,2.9,0.377,0.563
203506,Victor Oladipo,42,23,19,0.9,2.9,0.311,2.7,0.9,2.9,0.306,0.463
1631246,Vince Williams Jr.,15,7,8,0.3,1.8,0.148,0.8,0.3,1.8,0.148,0.222
1630249,Vit Krejci,29,15,14,0.1,0.6,0.188,0.3,0.1,0.6,0.188,0.281
1631111,Wendell Moore Jr.,29,16,13,0.0,0.5,0.067,0.1,0.0,0.5,0.067,0.1
202083,Wesley Matthews,52,37,15,0.7,2.2,0.339,2.1,0.7,2.1,0.321,0.496
203115,Will Barton,56,27,29,0.8,2.0,0.411,2.4,0.8,1.8,0.417,0.603
